# VVVID RA Dec l b Ks P Amp dist(kpc)
VVV2795856.95-243958.9 279:58:56.95 -24:39:58.9 9.56 -8.61 13.104 0.624103 0.36 5.5
VVV2802538.91-244830.3 280:25:38.91 -24:48:30.3 9.61 -9.035 14.385 0.576399 0.26 9.9
VVV2795617.11-243437.9 279:56:17.11 -24:34:37.9 9.624 -8.534 14.071 0.577207 0.28 8.5
VVV2793103.87-242037.6 279:31:03.87 -24:20:37.6 9.665 -8.088 13.855 0.585929 0.3 7.7
VVV2793633.51-242232.8 279:36:33.51 -24:22:32.8 9.674 -8.177 13.411 0.61109 0.15 6.4
VVV2794349.46-242519.5 279:43:49.46 -24:25:19.5 9.681 -8.296 14.526 0.563523 0.24 10.4
VVV2792806.45-241606.3 279:28:06.45 -24:16:06.3 9.714 -8.015 13.582 0.655394 0.27 7.2
VVV2794348.99-242143.9 279:43:48.99 -24:21:43.9 9.735 -8.27 15.509 0.4847 0.4 15.5
VVV2803753.20-244354.5 280:37:53.20 -24:43:54.5 9.761 -9.169 14.64 0.550712 0.27 10.9
VVV2801502.00-242427.8 280:15:02.00 -24:24:27.8 9.904 -8.716 14.259 0.552175 0.31 9.1
VVV2803830.59-243047.4 280:38:30.59 -24:30:47.4 9.965 -9.082 14.599 0.528111 0.32 10.4
VVV2794431.41-240456.9 279:44:31.41 -24:04:56.9 9.993 -8.157 13.992 0.518285 0.32 7.7
VVV2804733.87-242512.7 280:47:33.87 -24:25:12.7 10.11 -9.166 13.534 0.575848 0.28 6.5
VVV2795817.82-240313.8 279:58:17.82 -24:03:13.8 10.113 -8.332 15.142 0.563688 0.32 14.1
VVV2795514.76-235940.2 279:55:14.76 -23:59:40.2 10.146 -8.264 13.594 0.450388 0.23 5.9
VVV2804759.76-242224.4 280:47:59.76 -24:22:24.4 10.155 -9.151 15.073 0.58387 0.28 13.9
VVV2800902.22-240501.7 280:09:02.22 -24:05:01.7 10.158 -8.492 13.936 0.582632 0.24 8.0
VVV2803909.25-241630.9 280:39:09.25 -24:16:30.9 10.186 -8.988 13.948 0.516198 0.24 7.5
VVV2800745.71-233527.1 280:07:45.71 -23:35:27.1 10.597 -8.258 14.143 0.601927 0.2 9.0
VVV2705101.04-405300.9 270:51:01.04 -40:53:00.9 -8.568 -9.117 13.568 0.657026 0.28 7.1
VVV2711836.69-405946.8 271:18:36.69 -40:59:46.8 -8.504 -9.477 14.254 0.543839 0.34 9.0
VVV2721040.55-385557.8 272:10:40.55 -38:55:57.8 -6.339 -9.104 13.293 0.447351 0.34 5.1
VVV2721631.87-385330.9 272:16:31.87 -38:53:30.9 -6.267 -9.152 14.263 0.443135 0.34 8.1
VVV2742153.30-354403.3 274:21:53.30 -35:44:03.3 -2.653 -9.183 14.252 0.62397 0.3 9.7
VVV2743934.92-351351.3 274:39:34.92 -35:13:51.3 -2.088 -9.17 14.339 0.686243 0.32 10.6
VVV2742329.54-353109.9 274:23:29.54 -35:31:09.9 -2.449 -9.105 14.094 0.602439 0.33 8.8
VVV2750941.96-341525.6 275:09:41.96 -34:15:25.6 -1.02 -9.099 14.194 0.605451 0.26 9.2
VVV2755105.74-331254.1 275:51:05.74 -33:12:54.1 0.184 -9.145 14.382 0.527412 0.31 9.4
VVV2762640.78-331638.3 276:26:40.78 -33:16:38.3 0.351 -9.617 13.846 0.509204 0.33 7.1
VVV2765714.17-332826.0 276:57:14.17 -33:28:26.0 0.362 -10.086 14.217 0.54057 0.34 8.8
VVV2761349.80-331043.6 276:13:49.80 -33:10:43.6 0.36 -9.413 14.166 0.587058 0.26 9.0
VVV2761646.88-323025.5 276:16:46.88 -32:30:25.5 0.989 -9.151 14.096 0.507882 0.34 8.0
VVV2761723.32-322852.0 276:17:23.32 -32:28:52.0 1.016 -9.148 13.758 0.702716 0.27 8.1
VVV2762901.29-321250.0 276:29:01.29 -32:12:50.0 1.332 -9.175 14.883 0.537141 0.23 12.1
VVV2762905.51-320926.8 276:29:05.51 -32:09:26.8 1.384 -9.151 13.727 0.640578 0.32 7.6
VVV2764121.09-314838.8 276:41:21.09 -31:48:38.8 1.776 -9.153 14.247 0.483908 0.33 8.4
VVV2772057.66-303933.9 277:20:57.66 -30:39:33.9 3.075 -9.149 14.175 0.482551 0.31 8.1
VVV2783728.13-282753.6 278:37:28.13 -28:27:53.6 5.566 -9.181 13.726 0.456608 0.33 6.3
VVV2781743.83-285537.8 278:17:43.83 -28:55:37.8 5.017 -9.124 14.227 0.64336 0.28 9.7
VVV2790047.11-274241.1 279:00:47.11 -27:42:41.1 6.404 -9.16 14.468 0.463633 0.34 9.1
VVV2794421.45-280903.5 279:44:21.45 -28:09:03.5 6.285 -9.929 14.339 0.625821 0.34 10.1
VVV2790547.82-273727.3 279:05:47.82 -27:37:27.3 6.516 -9.188 14.202 0.498331 0.25 8.3
VVV2794711.13-261217.2 279:47:11.13 -26:12:17.2 8.082 -9.122 14.584 0.52136 0.31 10.3
VVV2795124.61-263539.0 279:51:24.61 -26:35:39.0 7.754 -9.349 13.627 0.645332 0.31 7.3
VVV2713240.54-392742.8 271:32:40.54 -39:27:42.8 -7.045 -8.917 14.252 0.486107 0.31 8.4
VVV2724714.66-381140.4 272:47:14.66 -38:11:40.4 -5.453 -9.185 14.577 0.643468 0.3 11.5
VVV2745045.94-323720.0 274:50:45.94 -32:37:20.0 0.334 -8.124 14.246 0.535957 0.3 8.9
VVV2761812.89-313713.6 276:18:12.89 -31:37:13.6 1.801 -8.774 14.88 0.493223 0.34 11.5
VVV2762334.33-313918.6 276:23:34.33 -31:39:18.6 1.804 -8.858 14.723 0.482623 0.28 10.6
VVV2762300.12-300107.2 276:23:00.12 -30:01:07.2 3.28 -8.118 13.283 0.551809 0.32 5.7
VVV2775558.95-290401.4 277:55:58.95 -29:04:01.4 4.748 -8.901 14.073 0.457924 0.33 7.5
